,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Sinit,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinit,S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinit,S2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinit,S3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinit,S4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sinit,S5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t_param,delt,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025,0.00025
t_param,N_time,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
theta,theta0,85.943298048936967,192.16666726985338,50.58792377467029,207.31820303008868,274.42456622691077,25.089048592033066,236.91834845469972,125.3347124511635,372.37689013576335,264.49810217007746,143.67965912573024,160.06429293568002,96.96658209621596,43.81948412345906,270.7765132883755,197.06547055541404,92.6350272426134,62.56334487554231,155.0598754109485,272.24621889430404,248.52579470059467,262.59778421240583,68.234218321918547,308.92209846475725,216.4666875059624,202.19266966333066,217.43155318613475,62.058588780333722,342.8841409558075,214.14365081175873,396.50820117688545,88.97494124170052,205.83224113119286,82.484985552944039,186.61528395213995,199.81635940218567,297.831348665929,272.58897779111817,128.96396798175851,57.661803332658465,187.8382105181339,228.77133928792125,282.2894044106956,33.49915520680182,402.91214940830201,72.778646936055253,223.24681829816186,213.75509067018197,125.77803282124316,297.41747465229804
theta,theta1,18.062793402326939,14.960140424952414,72.31889163686735,15.332956178399094,5.7906817549078795,85.012293904592184,20.041703986369967,22.168213797529663,9.1937593336626904,5.3509764514150788,28.258857844965327,12.656455651987073,61.241657489558236,44.381539779513425,4.8830129156224906,8.61524364210269,41.356659786941044,83.23709922906005,28.346676633940234,12.685305558503963,5.709625519478692,14.439467426817057,81.640317673353962,14.72426964474046,2.502738784484677,13.196073032224831,12.77620378761264,87.395467778074249,5.87639630939384,19.28679387830854,4.1262054529401695,69.76474569156552,24.807800814334467,32.824496732325898,22.782266808057727,26.137376430998607,9.7283264299911529,18.156763131297026,32.593439775907981,49.159779130993726,24.89690068337788,13.592726002365776,10.987639406795239,108.62518244708248,15.620859911022904,59.167468303661195,23.537902776952876,11.085241828068298,23.887228930599505,7.5360723019831894
theta,theta2,41.186438832175241,115.31676288007986,50.88924048899632,112.32333413172022,103.84602265477434,217.00301614730097,235.75851228833181,196.5469888625369,151.49091816357185,132.89008892346212,134.42517641855588,34.981553148927688,114.32559388315626,65.23233316414256,169.19511313778096,102.44108237510646,168.93021031490127,210.70902944911052,103.28924722543569,55.22800679264259,164.61650967994436,234.52822056375857,116.6764531317252,123.89076514720043,184.4176619621723,130.55213763131999,124.44339884463815,101.5176077553063,285.21408240955475,137.13210902632383,283.05104192587385,121.34793495444238,185.64622937864763,39.466625050282701,158.60720853413758,150.22520485148559,126.68629493288454,227.9887600082069,105.3381888577147,145.22276350215654,58.45468348239547,218.17232989832172,185.32713178299338,54.4874450216945,189.3058198854938,38.688966095821073,64.336312456758975,73.36760453714652,83.310154222855729,198.71623374993652
theta,theta3,46.372239634166533,51.58520550945748,107.00330014081422,81.194580634132791,130.1273643238641,194.28160361873125,23.71243696136068,112.6521184684589,92.592054859207821,27.420326000099237,106.48552092197943,72.763135223219734,266.0282932793475,187.48663487814434,80.434645424036461,91.32998643098259,217.60368202756024,213.76457507381636,27.326580017823318,78.74253076234794,6.6469856203831625,129.00079124437906,197.93507956458254,62.37190780758938,116.10181518726658,51.77687122242078,129.82066398599827,172.80266235634292,19.722119872130406,41.912061976555805,38.059960295060705,87.99742953690006,46.89010597776502,98.054324824731367,138.52036620464395,68.4749980693382,120.59349751520007,65.282883591301044,166.91556623690326,158.90816476966492,34.96312556252707,125.14687622160105,120.21329392500309,229.46771690486213,12.802264637190234,126.54276905624403,101.393181566385,100.85442448305271,16.498078368935879,121.13634371662047
