time,m1,m2,m3,p1,p2,p3
0,0,0,0,0,0,0
0.005,6,5,3,0,0,0
0.01,11,10,14,1,0,0
0.015,11,17,18,3,0,0
0.02,14,20,21,2,0,1
0.025,17,23,22,2,1,1
0.03,18,26,23,2,1,1
0.035,18,27,27,2,1,1
0.04,18,29,30,2,2,1
0.045,19,29,32,2,3,2
0.05,19,31,32,3,5,2
0.055,19,31,33,3,6,3
0.06,19,31,33,3,7,6
0.065,19,31,33,4,8,6
0.07,20,31,33,4,9,5
0.075,20,31,33,5,8,4
0.08,20,31,33,6,10,5
0.085,20,31,33,5,11,6
0.09,20,31,33,5,13,6
0.095,20,31,33,4,13,7
0.1,20,31,33,4,13,7
0.105,21,30,32,4,14,7
0.11,21,30,32,6,14,8
0.115,20,29,31,7,14,8
0.12,20,29,31,7,16,8
0.125,20,29,32,7,16,8
0.13,20,29,32,7,16,9
0.135,20,29,32,8,16,11
0.14,20,29,32,10,17,10
0.145,20,29,32,10,16,11
0.15,20,29,32,10,17,11
0.155,19,29,32,10,16,10
0.16,19,29,32,11,18,11
0.165,19,29,32,12,19,12
0.17,19,29,32,13,19,11
0.175,19,29,31,13,21,11
0.18,19,29,31,15,22,11
0.185,19,29,31,16,22,10
0.19,19,29,31,14,22,12
0.195,19,28,31,14,21,13
0.2,19,28,31,15,21,13
0.205,19,28,31,15,22,15
0.21,18,28,31,17,23,14
0.215,19,28,31,16,25,14
0.22,20,28,31,15,24,14
0.225,19,28,31,15,24,15
0.23,19,28,30,17,25,17
0.235,19,28,29,16,25,17
0.24,19,28,28,16,25,16
0.245,19,26,28,15,27,15
0.25,19,26,28,16,29,15
0.255,19,25,28,16,30,19
0.26,19,25,28,18,31,19
0.265,19,25,28,19,29,20
0.27,19,25,28,19,27,20
0.275,19,25,28,20,26,20
0.28,19,25,27,20,26,19
0.285,19,25,27,19,25,19
0.29,19,26,27,19,25,19
0.295,19,27,27,19,23,18
0.3,19,27,27,18,23,20
0.305,19,27,27,19,23,24
0.31,19,27,27,19,24,27
0.315,19,27,27,18,23,27
0.32,19,27,27,18,23,27
0.325,19,27,27,18,24,28
0.33,19,26,27,20,24,28
0.335,19,26,27,22,23,29
0.34,18,26,27,22,22,28
0.345,17,26,27,23,22,26
0.35,18,26,27,25,25,26
0.355,18,25,27,25,22,27
0.36,18,24,27,26,20,27
0.365,18,24,27,23,20,26
0.37,18,23,26,23,20,26
0.375,18,23,26,23,19,28
0.38,18,23,26,23,18,28
0.385,18,23,26,23,18,28
0.39,18,22,26,23,19,27
0.395,18,21,25,22,19,27
0.4,18,21,25,21,18,26
0.405,18,21,25,21,20,25
0.41,18,20,25,21,20,24
0.415,18,20,25,22,19,25
0.42,17,20,25,22,20,24
0.425,17,21,25,23,20,24
0.43,17,21,25,22,21,23
0.435,16,21,25,23,21,22
0.44,16,21,25,23,20,22
0.445,16,21,25,24,20,22
0.45,16,20,25,23,21,22
0.455,16,20,25,23,20,23
0.46,16,20,25,22,20,24
0.465,16,19,25,22,20,24
0.47,16,19,25,22,21,24
0.475,16,19,25,22,22,24
0.48,15,19,25,22,24,25
0.485,15,19,25,21,23,25
0.49,15,19,25,19,24,25
0.495,15,19,25,18,23,25
0.5,15,19,25,15,23,24
0.505,15,19,25,15,22,25
0.51,15,19,25,16,23,25
0.515,15,19,24,16,23,27
0.52,14,19,24,16,23,28
0.525,14,19,24,16,24,29
0.53,14,19,24,15,24,29
0.535,14,19,24,14,24,30
0.54,14,19,24,15,24,30
0.545,13,19,24,13,24,31
0.55,13,19,24,14,23,31
0.555,13,18,24,14,20,30
0.56,13,18,23,13,20,30
0.565,12,18,23,13,20,30
0.57,12,18,23,13,21,30
0.575,12,18,23,13,20,31
0.58,12,18,23,14,19,33
0.585,12,18,23,15,19,31
0.59,12,19,23,16,18,32
0.595,12,19,23,16,18,28
0.6,12,19,23,15,17,27
0.605,12,18,22,15,19,28
0.61,12,18,21,15,19,27
0.615,12,18,21,13,17,26
0.62,13,18,21,13,17,25
0.625,13,18,20,13,16,26
0.63,13,18,20,13,16,26
0.635,13,18,20,12,16,25
0.64,13,18,20,12,17,25
0.645,13,18,20,12,17,25
0.65,13,18,20,12,18,24
0.655,13,17,20,12,16,24
